repetitions;time(ns)
10000;9668696100
20000;18814251100
30000;27905124000
40000;37053381200
50000;46082499900
60000;55144395200
70000;64509255000
80000;75123719700
90000;85414972100
100000;94583282100
110000;103807897000
120000;113208220100
130000;122671205000
140000;132085750500
150000;141189775700
160000;150328254500
170000;159444730600
180000;168571764400
190000;177983061500
200000;187180464800
210000;196341444600
220000;205472807000
230000;214566627800
240000;223690999500
250000;232831797200
260000;242055525800
270000;251146539200
280000;260225550400
290000;269308185700
300000;278416056700
310000;287534939600
320000;296806347300
330000;305911335400
340000;315706094900
350000;325275519400
360000;334427944100
370000;343562781500
380000;352777572700
390000;361874562000
400000;371246446800
410000;380328107200
420000;389324720100
430000;398332009600
440000;407338494000
450000;416376355700
460000;425395888700
470000;434447735400
480000;443781802900
490000;452794137100
500000;461913979100
510000;470892302600
520000;480020383100
530000;489058724799
540000;498062699900
550000;507027327300
560000;516023558200
570000;525057074500
580000;534173603100
590000;543328803800
600000;552395446700
610000;561449695200
620000;570507186500
630000;579572267000
640000;588647532300
650000;597826039500
660000;606988655100
670000;616647460200
680000;625786720600
690000;634941506700
700000;644107646300
710000;653294182400
720000;662707172700
730000;672172030200
740000;681650960500
750000;690889190700
760000;700099025300
770000;709370270500
780000;718597854300
790000;727853943700
800000;737081176300
810000;746301549500
820000;755507357300
830000;764797350300
840000;773986414900
850000;783296501000
860000;792499185100
870000;801728938100
880000;810940674500
890000;820140367800
900000;829361153500
910000;838566288400
920000;847754208900
930000;856940201500
940000;866150151200
950000;875325599900
960000;884555331000
970000;893803860200
980000;903017584300
990000;912242323500
1000000;921444625900
1010000;930639005100
1020000;939844533400
1030000;949074352200
1040000;958308828300
1050000;967534082200
1060000;976781372000
1070000;985963075700
1080000;995177330000
1090000;1004398138800
1100000;1013646660000
1110000;1022835836900
1120000;1032028248000
1130000;1041218328000
1140000;1050405297200
1150000;1059626747100
1160000;1068826816300
1170000;1078031218900
1180000;1087245053600
1190000;1096443954800
1200000;1105626845100
1210000;1114856900300
1220000;1124057839200
1230000;1133280087800
1240000;1142517015500
1250000;1151672938300
1260000;1160810107000
1270000;1169949417000
1280000;1179096651600
1290000;1188240024600
1300000;1197466373800
1310000;1206622011800
1320000;1215955664000
1330000;1225503060700
1340000;1234627505000
1350000;1243703997400
1360000;1252933247200
1370000;1263309973000
1380000;1274511864600
1390000;1286772481800
1400000;1298480998900
1410000;1309363477200
1420000;1319825814700
1430000;1330840834000
1440000;1340731260100
1450000;1350327023100
1460000;1359896552400
1470000;1369785881600
1480000;1380107010700
1490000;1395771120000
1500000;1418767630900
1510000;1446956255600
1520000;1476117695000
1530000;1504714388600
1540000;1532610692699
1550000;1561654862799
1560000;1589087414800
1570000;1605437326600
1580000;1620294127200
1590000;1633020377800
1600000;1645975629400
1610000;1659936125300
1620000;1671266048300
1630000;1700080591400
1640000;1729305265300
1650000;1744280530900
1660000;1753961469700
1670000;1769913437800
1680000;1780412240100
1690000;1793500133000
1700000;1822126336100
1710000;1849051571200
1720000;1878239633000
1730000;1906576810200
1740000;1923810956900
1750000;1944661654400
1760000;1954888074800
1770000;1967767862000
1780000;1979524010700
1790000;1988529118900
1800000;1997528602800
1810000;2006489098700
1820000;2015477700500
1830000;2024455123100
1840000;2033430745400
1850000;2042414278200
1860000;2051376573100
1870000;2060346810700
1880000;2069311932100
1890000;2078281520400
1900000;2087233422800
1910000;2096259536600
1920000;2105247040300
1930000;2114228536700
1940000;2123169942700
1950000;2132123269100
1960000;2141075741000
1970000;2149993643700
1980000;2159046930300
1990000;2168549927800